hit_symbol,hit_id,input_symbol,input_id,is_input_gene,num_modules,total_hits,functional_sim_count,phenotype_sim_count,protein_interaction_count,functional_sim_score,functional_sim_rank,phenotype_sim_score,phenotype_sim_rank,interaction_count_rank
EME1,HGNC:24965,"['FANCE', 'FANCB', 'FANCF', 'XRCC2', 'BRIP1', 'FANCL', 'FANCM', 'SLX4', 'UBE2T', 'PALB2', 'FANCC', 'FANCG', 'RAD51C']","['HGNC:3586', 'HGNC:3583', 'HGNC:3587', 'HGNC:12829', 'HGNC:20473', 'HGNC:20748', 'HGNC:23168', 'HGNC:23845', 'HGNC:25009', 'HGNC:26144', 'HGNC:3584', 'HGNC:3588', 'HGNC:9820']",N,2,16.0,3.0,,13.0,"[0.55, 0.6, 0.6]","[88.0, 59.0, 59.0]",[],[],33.0
FAAP100,HGNC:26171,"['FANCE', 'FANCB', 'FANCF', 'BRIP1', 'FANCL', 'FANCM', 'SLX4', 'UBE2T', 'PALB2', 'FANCC', 'FANCG', 'RAD51C']","['HGNC:3586', 'HGNC:3583', 'HGNC:3587', 'HGNC:20473', 'HGNC:20748', 'HGNC:23168', 'HGNC:23845', 'HGNC:25009', 'HGNC:26144', 'HGNC:3584', 'HGNC:3588', 'HGNC:9820']",N,2,15.0,3.0,,12.0,"[0.7857142857142857, 0.8571428571428571, 0.8571428571428571]","[15.0, 7.0, 7.0]",[],[],41.0
CENPS,HGNC:23163,"['FANCM', 'FANCL', 'SLX4', 'UBE2T', 'FANCI', 'ERCC4', 'FANCA', 'FANCB', 'FANCC', 'FANCD2', 'FANCE', 'FANCF', 'FANCG']","['HGNC:23168', 'HGNC:20748', 'HGNC:23845', 'HGNC:25009', 'HGNC:25568', 'HGNC:3436', 'HGNC:3582', 'HGNC:3583', 'HGNC:3584', 'HGNC:3585', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588']",N,2,14.0,1.0,,13.0,[0.5879120879120879],[69.0],[],[],33.0
DCLRE1A,HGNC:17660,"['FANCB', 'FANCF', 'FANCE', 'FANCL', 'FANCM', 'SLX4', 'UBE2T', 'ERCC4', 'FANCA', 'FANCC', 'FANCG']","['HGNC:3583', 'HGNC:3587', 'HGNC:3586', 'HGNC:20748', 'HGNC:23168', 'HGNC:23845', 'HGNC:25009', 'HGNC:3436', 'HGNC:3582', 'HGNC:3584', 'HGNC:3588']",N,2,14.0,3.0,,11.0,"[0.5641025641025641, 0.5641025641025641, 0.5945945945945946]","[79.0, 79.0, 63.0]",[],[],46.0
EME2,HGNC:27289,"['FANCF', 'FANCB', 'XRCC2', 'BRIP1', 'FANCL', 'SLX4', 'UBE2T', 'PALB2', 'FANCC', 'FANCE', 'FANCG']","['HGNC:3587', 'HGNC:3583', 'HGNC:12829', 'HGNC:20473', 'HGNC:20748', 'HGNC:23845', 'HGNC:25009', 'HGNC:26144', 'HGNC:3584', 'HGNC:3586', 'HGNC:3588']",N,2,13.0,2.0,,11.0,"[0.5172413793103449, 0.5172413793103449]","[107.0, 107.0]",[],[],46.0
BLM,HGNC:1058,"['BRCA2', 'XRCC2', 'BRIP1', 'FANCL', 'FANCM', 'SLX4', 'UBE2T', 'FANCI', 'PALB2', 'ERCC4', 'FANCA', 'FANCB', 'FANCC', 'FANCD2', 'FANCE', 'FANCF', 'FANCG', 'RAD51', 'RAD51C']","['HGNC:1101', 'HGNC:12829', 'HGNC:20473', 'HGNC:20748', 'HGNC:23168', 'HGNC:23845', 'HGNC:25009', 'HGNC:25568', 'HGNC:26144', 'HGNC:3436', 'HGNC:3582', 'HGNC:3583', 'HGNC:3584', 'HGNC:3585', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588', 'HGNC:9817', 'HGNC:9820']",N,1,19.0,,,19.0,[],[],[],[],1.0
BRCA1,HGNC:1100,"['BRCA2', 'XRCC2', 'BRIP1', 'FANCL', 'FANCM', 'SLX4', 'UBE2T', 'FANCI', 'PALB2', 'ERCC4', 'FANCA', 'FANCB', 'FANCC', 'FANCD2', 'FANCE', 'FANCF', 'FANCG', 'RAD51', 'RAD51C']","['HGNC:1101', 'HGNC:12829', 'HGNC:20473', 'HGNC:20748', 'HGNC:23168', 'HGNC:23845', 'HGNC:25009', 'HGNC:25568', 'HGNC:26144', 'HGNC:3436', 'HGNC:3582', 'HGNC:3583', 'HGNC:3584', 'HGNC:3585', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588', 'HGNC:9817', 'HGNC:9820']",Y,1,19.0,,,19.0,[],[],[],[],1.0
UBB,HGNC:12463,"['BRCA2', 'XRCC2', 'BRIP1', 'FANCL', 'FANCM', 'SLX4', 'UBE2T', 'FANCI', 'PALB2', 'ERCC4', 'FANCA', 'FANCB', 'FANCC', 'FANCD2', 'FANCE', 'FANCF', 'FANCG', 'MAD2L2', 'RAD51C']","['HGNC:1101', 'HGNC:12829', 'HGNC:20473', 'HGNC:20748', 'HGNC:23168', 'HGNC:23845', 'HGNC:25009', 'HGNC:25568', 'HGNC:26144', 'HGNC:3436', 'HGNC:3582', 'HGNC:3583', 'HGNC:3584', 'HGNC:3585', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588', 'HGNC:6764', 'HGNC:9820']",N,1,19.0,,,19.0,[],[],[],[],1.0
ATR,HGNC:882,"['BRCA1', 'BRCA2', 'XRCC2', 'BRIP1', 'FANCL', 'FANCM', 'SLX4', 'UBE2T', 'FANCI', 'ERCC4', 'FANCA', 'FANCB', 'FANCC', 'FANCD2', 'FANCE', 'FANCF', 'FANCG', 'RAD51C']","['HGNC:1100', 'HGNC:1101', 'HGNC:12829', 'HGNC:20473', 'HGNC:20748', 'HGNC:23168', 'HGNC:23845', 'HGNC:25009', 'HGNC:25568', 'HGNC:3436', 'HGNC:3582', 'HGNC:3583', 'HGNC:3584', 'HGNC:3585', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588', 'HGNC:9820']",N,1,18.0,,,18.0,[],[],[],[],4.0
FANCI,HGNC:25568,"['BRCA1', 'BRCA2', 'BRIP1', 'FANCL', 'FANCM', 'SLX4', 'UBE2T', 'PALB2', 'ERCC4', 'FANCA', 'FANCB', 'FANCC', 'FANCD2', 'FANCE', 'FANCF', 'FANCG', 'RAD51', 'RAD51C']","['HGNC:1100', 'HGNC:1101', 'HGNC:20473', 'HGNC:20748', 'HGNC:23168', 'HGNC:23845', 'HGNC:25009', 'HGNC:26144', 'HGNC:3436', 'HGNC:3582', 'HGNC:3583', 'HGNC:3584', 'HGNC:3585', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588', 'HGNC:9817', 'HGNC:9820']",Y,1,18.0,,,18.0,[],[],[],[],4.0
