index,hit_symbol,hit_id,input_id,input_symbol,functional_sim_score,functional_sim_rank,phenotype_sim_score,phenotype_sim_rank,protein_interaction,protein_interaction_rank
10,BRCA2,HGNC:1101,"['HGNC:25568', 'HGNC:3586', 'HGNC:3588', 'HGNC:23168', 'HGNC:3436', 'HGNC:23845', 'HGNC:9820', 'HGNC:25009', 'HGNC:9817', 'HGNC:3587', 'HGNC:20748', 'HGNC:12829', 'HGNC:6764', 'HGNC:3584', 'HGNC:3582', 'HGNC:3585', 'HGNC:25539', 'HGNC:1100', 'HGNC:3583', 'HGNC:26144', 'HGNC:20473']","['FANCI', 'FANCE', 'FANCG', 'FANCM', 'ERCC4', 'SLX4', 'RAD51C', 'UBE2T', 'RAD51', 'FANCF', 'FANCL', 'XRCC2', 'MAD2L2', 'FANCC', 'FANCA', 'FANCD2', 'RFWD3', 'BRCA1', 'FANCB', 'PALB2', 'BRIP1']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",21.0,"[401.0, 385.0, 359.0, 367.0, 461.0, 361.0, 301.0, 321.0, 325.0, 327.0, 373.0, 357.0, 363.0, 385.0, 385.0, 385.0, 371.0, 405.0, 413.0, 175.0, 229.0]",14.0,18.0
11,BRIP1,HGNC:20473,"['HGNC:25539', 'HGNC:25568', 'HGNC:3588', 'HGNC:3586', 'HGNC:3584', 'HGNC:3436', 'HGNC:23168', 'HGNC:25009', 'HGNC:3583', 'HGNC:9817', 'HGNC:3585', 'HGNC:3587', 'HGNC:20748', 'HGNC:23845', 'HGNC:26144', 'HGNC:9820', 'HGNC:1100', 'HGNC:6764', 'HGNC:12829', 'HGNC:1101', 'HGNC:3582']","['RFWD3', 'FANCI', 'FANCG', 'FANCE', 'FANCC', 'ERCC4', 'FANCM', 'UBE2T', 'FANCB', 'RAD51', 'FANCD2', 'FANCF', 'FANCL', 'SLX4', 'PALB2', 'RAD51C', 'BRCA1', 'MAD2L2', 'XRCC2', 'BRCA2', 'FANCA']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",21.0,"[187.0, 279.0, 77.0, 179.0, 179.0, 441.0, 133.0, 43.0, 315.0, 45.0, 179.0, 47.0, 109.0, 87.0, 107.0, 105.0, 355.0, 71.0, 93.0, 229.0, 179.0]",8.0,59.0
12,BUB1B,HGNC:1149,"['HGNC:20748', 'HGNC:25539']","['FANCL', 'RFWD3']",,"[nan, nan]",2.0,"[544.0, 605.0]",,
13,CDK2AP1,HGNC:14002,['HGNC:25568'],['FANCI'],1.0,[117.0],,[nan],,
14,CENPS,HGNC:23163,"['HGNC:23168', 'HGNC:20748', 'HGNC:23845', 'HGNC:25568', 'HGNC:3436', 'HGNC:3583', 'HGNC:3584', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588']","['FANCM', 'FANCL', 'SLX4', 'FANCI', 'ERCC4', 'FANCB', 'FANCC', 'FANCE', 'FANCF', 'FANCG']",1.0,"[71.0, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",10.0,51.0
15,CENPS-CORT,HGNC:38843,"['HGNC:20748', 'HGNC:23168', 'HGNC:23845', 'HGNC:25009', 'HGNC:25568', 'HGNC:3436', 'HGNC:3582', 'HGNC:3583', 'HGNC:3584', 'HGNC:3585', 'HGNC:3586', 'HGNC:3587']","['FANCL', 'FANCM', 'SLX4', 'UBE2T', 'FANCI', 'ERCC4', 'FANCA', 'FANCB', 'FANCC', 'FANCD2', 'FANCE', 'FANCF']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",12.0,35.0
16,CENPX,HGNC:11422,"['HGNC:23168', 'HGNC:20748', 'HGNC:23845', 'HGNC:3436', 'HGNC:3582', 'HGNC:3583', 'HGNC:3584', 'HGNC:3585', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588']","['FANCM', 'FANCL', 'SLX4', 'ERCC4', 'FANCA', 'FANCB', 'FANCC', 'FANCD2', 'FANCE', 'FANCF', 'FANCG']",1.0,"[69.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",11.0,41.0
17,CEP57,HGNC:30794,"['HGNC:25539', 'HGNC:12829', 'HGNC:1101', 'HGNC:25568', 'HGNC:20748']","['RFWD3', 'XRCC2', 'BRCA2', 'FANCI', 'FANCL']",,"[nan, nan, nan, nan, nan]",5.0,"[523.0, 604.0, 599.0, 549.0, 564.0]",,
18,CHD7,HGNC:20626,"['HGNC:23845', 'HGNC:25568', 'HGNC:20473', 'HGNC:3583', 'HGNC:9817', 'HGNC:25539', 'HGNC:6764', 'HGNC:20748', 'HGNC:3588', 'HGNC:12829', 'HGNC:9820', 'HGNC:3436', 'HGNC:25009', 'HGNC:23168', 'HGNC:3585', 'HGNC:3582', 'HGNC:3584', 'HGNC:1100', 'HGNC:3586']","['SLX4', 'FANCI', 'BRIP1', 'FANCB', 'RAD51', 'RFWD3', 'MAD2L2', 'FANCL', 'FANCG', 'XRCC2', 'RAD51C', 'ERCC4', 'UBE2T', 'FANCM', 'FANCD2', 'FANCA', 'FANCC', 'BRCA1', 'FANCE']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",19.0,"[625.0, 495.0, 595.0, 497.0, 615.0, 512.0, 616.0, 521.0, 623.0, 571.0, 569.0, 516.0, 563.0, 567.0, 552.0, 552.0, 552.0, 566.0, 552.0]",,
19,CHEK1,HGNC:1925,"['HGNC:1101', 'HGNC:20473', 'HGNC:20748', 'HGNC:23168', 'HGNC:25009', 'HGNC:3583', 'HGNC:3584', 'HGNC:3585', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588']","['BRCA2', 'BRIP1', 'FANCL', 'FANCM', 'UBE2T', 'FANCB', 'FANCC', 'FANCD2', 'FANCE', 'FANCF', 'FANCG']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",11.0,41.0
20,CINP,HGNC:23789,"['HGNC:3583', 'HGNC:3586', 'HGNC:3587']","['FANCB', 'FANCE', 'FANCF']",3.0,"[57.0, 91.0, 57.0]",,"[nan, nan, nan]",,
21,DACT1,HGNC:17748,"['HGNC:3583', 'HGNC:3585', 'HGNC:6764', 'HGNC:9820', 'HGNC:20748', 'HGNC:3582', 'HGNC:3586', 'HGNC:25568', 'HGNC:3588', 'HGNC:3584', 'HGNC:25539', 'HGNC:20473', 'HGNC:3587', 'HGNC:12829', 'HGNC:23168', 'HGNC:9817', 'HGNC:25009', 'HGNC:23845']","['FANCB', 'FANCD2', 'MAD2L2', 'RAD51C', 'FANCL', 'FANCA', 'FANCE', 'FANCI', 'FANCG', 'FANCC', 'RFWD3', 'BRIP1', 'FANCF', 'XRCC2', 'FANCM', 'RAD51', 'UBE2T', 'SLX4']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",18.0,"[568.0, 609.0, 547.0, 598.0, 494.0, 609.0, 609.0, 508.0, 533.0, 609.0, 512.0, 579.0, 518.0, 520.0, 537.0, 529.0, 502.0, 543.0]",,
22,DCLRE1A,HGNC:17660,"['HGNC:3587', 'HGNC:3583', 'HGNC:3586', 'HGNC:20748', 'HGNC:23168', 'HGNC:23845', 'HGNC:25009', 'HGNC:25568', 'HGNC:3584', 'HGNC:3588']","['FANCF', 'FANCB', 'FANCE', 'FANCL', 'FANCM', 'SLX4', 'UBE2T', 'FANCI', 'FANCC', 'FANCG']",3.0,"[83.0, 83.0, 65.0, nan, nan, nan, nan, nan, nan, nan]",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",10.0,51.0
23,DCLRE1B,HGNC:17641,"['HGNC:20748', 'HGNC:23168', 'HGNC:23845', 'HGNC:25009', 'HGNC:3436', 'HGNC:3582', 'HGNC:3583', 'HGNC:3584', 'HGNC:3585', 'HGNC:3586', 'HGNC:3587']","['FANCL', 'FANCM', 'SLX4', 'UBE2T', 'ERCC4', 'FANCA', 'FANCB', 'FANCC', 'FANCD2', 'FANCE', 'FANCF']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",11.0,41.0
24,DCUN1D1,HGNC:18184,['HGNC:25568'],['FANCI'],1.0,[70.0],,[nan],,
25,DHCR7,HGNC:2860,"['HGNC:9817', 'HGNC:25568', 'HGNC:23168', 'HGNC:6764', 'HGNC:3588', 'HGNC:1100', 'HGNC:20748', 'HGNC:3584', 'HGNC:3585', 'HGNC:3582', 'HGNC:3586', 'HGNC:12829', 'HGNC:25539', 'HGNC:26144', 'HGNC:3583', 'HGNC:23845', 'HGNC:9820', 'HGNC:20473', 'HGNC:25009', 'HGNC:3587']","['RAD51', 'FANCI', 'FANCM', 'MAD2L2', 'FANCG', 'BRCA1', 'FANCL', 'FANCC', 'FANCD2', 'FANCA', 'FANCE', 'XRCC2', 'RFWD3', 'PALB2', 'FANCB', 'SLX4', 'RAD51C', 'BRIP1', 'UBE2T', 'FANCF']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",20.0,"[551.0, 512.0, 608.0, 603.0, 596.0, 590.0, 505.0, 582.0, 582.0, 582.0, 582.0, 575.0, 589.0, 572.0, 557.0, 548.0, 546.0, 540.0, 512.0, 573.0]",,
26,DNA2,HGNC:2939,"['HGNC:1101', 'HGNC:12829', 'HGNC:20473', 'HGNC:23168', 'HGNC:23845', 'HGNC:26144', 'HGNC:3436', 'HGNC:3585', 'HGNC:9817', 'HGNC:9820']","['BRCA2', 'XRCC2', 'BRIP1', 'FANCM', 'SLX4', 'PALB2', 'ERCC4', 'FANCD2', 'RAD51', 'RAD51C']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",10.0,51.0
27,EEPD1,HGNC:22223,"['HGNC:3586', 'HGNC:3587', 'HGNC:3583']","['FANCE', 'FANCF', 'FANCB']",3.0,"[19.0, 15.0, 15.0]",,"[nan, nan, nan]",,
28,EID3,HGNC:32961,"['HGNC:3586', 'HGNC:3587', 'HGNC:3583']","['FANCE', 'FANCF', 'FANCB']",3.0,"[60.0, 41.0, 41.0]",,"[nan, nan, nan]",,
29,EME1,HGNC:24965,"['HGNC:3586', 'HGNC:3587', 'HGNC:3583', 'HGNC:12829', 'HGNC:20473', 'HGNC:20748', 'HGNC:23168', 'HGNC:23845', 'HGNC:25009', 'HGNC:3436', 'HGNC:3582', 'HGNC:3584', 'HGNC:3585', 'HGNC:3588', 'HGNC:9820']","['FANCE', 'FANCF', 'FANCB', 'XRCC2', 'BRIP1', 'FANCL', 'FANCM', 'SLX4', 'UBE2T', 'ERCC4', 'FANCA', 'FANCC', 'FANCD2', 'FANCG', 'RAD51C']",3.0,"[92.0, 60.0, 60.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",15.0,10.0
30,EME2,HGNC:27289,"['HGNC:3587', 'HGNC:3583', 'HGNC:1101', 'HGNC:12829', 'HGNC:20473', 'HGNC:20748', 'HGNC:23845', 'HGNC:25009', 'HGNC:26144', 'HGNC:3436', 'HGNC:3582', 'HGNC:3584', 'HGNC:3585', 'HGNC:3586', 'HGNC:3588', 'HGNC:9820']","['FANCF', 'FANCB', 'BRCA2', 'XRCC2', 'BRIP1', 'FANCL', 'SLX4', 'UBE2T', 'PALB2', 'ERCC4', 'FANCA', 'FANCC', 'FANCD2', 'FANCE', 'FANCG', 'RAD51C']",2.0,"[113.0, 113.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",16.0,7.0
31,ERCC1,HGNC:3433,"['HGNC:3436', 'HGNC:20473', 'HGNC:20748', 'HGNC:23845', 'HGNC:25009', 'HGNC:3583', 'HGNC:3584', 'HGNC:3585', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588']","['ERCC4', 'BRIP1', 'FANCL', 'SLX4', 'UBE2T', 'FANCB', 'FANCC', 'FANCD2', 'FANCE', 'FANCF', 'FANCG']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",1.0,"[464.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",10.0,51.0
32,ERCC2,HGNC:3434,['HGNC:3436'],['ERCC4'],,[nan],1.0,[467.0],,
33,ERCC3,HGNC:3435,['HGNC:3436'],['ERCC4'],,[nan],1.0,[470.0],,
34,ERCC4,HGNC:3436,"['HGNC:20748', 'HGNC:3587', 'HGNC:23845', 'HGNC:3582', 'HGNC:12829', 'HGNC:3585', 'HGNC:25568', 'HGNC:1100', 'HGNC:1101', 'HGNC:3584', 'HGNC:3586', 'HGNC:9820', 'HGNC:20473', 'HGNC:25539', 'HGNC:25009', 'HGNC:3588', 'HGNC:23168', 'HGNC:9817', 'HGNC:6764', 'HGNC:26144', 'HGNC:3583']","['FANCL', 'FANCF', 'SLX4', 'FANCA', 'XRCC2', 'FANCD2', 'FANCI', 'BRCA1', 'BRCA2', 'FANCC', 'FANCE', 'RAD51C', 'BRIP1', 'RFWD3', 'UBE2T', 'FANCG', 'FANCM', 'RAD51', 'MAD2L2', 'PALB2', 'FANCB']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",21.0,"[421.0, 423.0, 425.0, 445.0, 429.0, 445.0, 457.0, 459.0, 461.0, 445.0, 445.0, 443.0, 441.0, 439.0, 427.0, 437.0, 435.0, 433.0, 431.0, 455.0, 453.0]",11.0,41.0
35,ERCC5,HGNC:3437,['HGNC:3436'],['ERCC4'],,[nan],1.0,[466.0],,
36,ERCC8,HGNC:3439,['HGNC:3436'],['ERCC4'],,[nan],1.0,[465.0],,
37,ESCO2,HGNC:27230,"['HGNC:23168', 'HGNC:12829', 'HGNC:20748', 'HGNC:3588', 'HGNC:6764', 'HGNC:26144', 'HGNC:3585', 'HGNC:3584', 'HGNC:3586', 'HGNC:3582', 'HGNC:23845', 'HGNC:9820', 'HGNC:3583', 'HGNC:25568', 'HGNC:9817', 'HGNC:20473', 'HGNC:3587', 'HGNC:1100', 'HGNC:25539', 'HGNC:25009']","['FANCM', 'XRCC2', 'FANCL', 'FANCG', 'MAD2L2', 'PALB2', 'FANCD2', 'FANCC', 'FANCE', 'FANCA', 'SLX4', 'RAD51C', 'FANCB', 'FANCI', 'RAD51', 'BRIP1', 'FANCF', 'BRCA1', 'RFWD3', 'UBE2T']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",20.0,"[562.0, 539.0, 501.0, 532.0, 545.0, 550.0, 490.0, 490.0, 490.0, 490.0, 489.0, 534.0, 538.0, 570.0, 530.0, 509.0, 519.0, 511.0, 517.0, 488.0]",,
38,FAAP100,HGNC:26171,"['HGNC:3583', 'HGNC:3587', 'HGNC:3586', 'HGNC:20473', 'HGNC:20748', 'HGNC:23168', 'HGNC:23845', 'HGNC:25009', 'HGNC:26144', 'HGNC:3436', 'HGNC:3582', 'HGNC:3584', 'HGNC:3585', 'HGNC:3588', 'HGNC:9820']","['FANCB', 'FANCF', 'FANCE', 'BRIP1', 'FANCL', 'FANCM', 'SLX4', 'UBE2T', 'PALB2', 'ERCC4', 'FANCA', 'FANCC', 'FANCD2', 'FANCG', 'RAD51C']",3.0,"[7.0, 7.0, 15.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",15.0,10.0
39,FAAP24,HGNC:28467,"['HGNC:3583', 'HGNC:3586', 'HGNC:3587', 'HGNC:1100', 'HGNC:1101', 'HGNC:20748', 'HGNC:23168', 'HGNC:23845', 'HGNC:25568', 'HGNC:3436', 'HGNC:3584', 'HGNC:3588', 'HGNC:9820']","['FANCB', 'FANCE', 'FANCF', 'BRCA1', 'BRCA2', 'FANCL', 'FANCM', 'SLX4', 'FANCI', 'ERCC4', 'FANCC', 'FANCG', 'RAD51C']",3.0,"[11.0, 21.0, 11.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",13.0,23.0
40,FAN1,HGNC:29170,"['HGNC:20748', 'HGNC:23168', 'HGNC:23845', 'HGNC:25009', 'HGNC:3582', 'HGNC:3583', 'HGNC:3584', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588']","['FANCL', 'FANCM', 'SLX4', 'UBE2T', 'FANCA', 'FANCB', 'FANCC', 'FANCE', 'FANCF', 'FANCG']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",10.0,51.0
41,FANCA,HGNC:3582,"['HGNC:20748', 'HGNC:12829', 'HGNC:23845', 'HGNC:25539', 'HGNC:6764', 'HGNC:23168', 'HGNC:26144', 'HGNC:1100', 'HGNC:3587', 'HGNC:3585', 'HGNC:20473', 'HGNC:9820', 'HGNC:25568', 'HGNC:3588', 'HGNC:9817', 'HGNC:3586', 'HGNC:1101', 'HGNC:3583', 'HGNC:3584', 'HGNC:3436', 'HGNC:25009', 'HGNC:7532']","['FANCL', 'XRCC2', 'SLX4', 'RFWD3', 'MAD2L2', 'FANCM', 'PALB2', 'BRCA1', 'FANCF', 'FANCD2', 'BRIP1', 'RAD51C', 'FANCI', 'FANCG', 'RAD51', 'FANCE', 'BRCA2', 'FANCB', 'FANCC', 'ERCC4', 'UBE2T', 'MX1']",1.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, 38.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",21.0,"[207.0, 215.0, 153.0, 283.0, 139.0, 251.0, 329.0, 235.0, 165.0, 1.0, 179.0, 293.0, 337.0, 121.0, 189.0, 1.0, 385.0, 345.0, 1.0, 445.0, 95.0, nan]",14.0,18.0
42,FANCB,HGNC:3583,"['HGNC:23845', 'HGNC:1100', 'HGNC:1101', 'HGNC:3586', 'HGNC:9817', 'HGNC:6764', 'HGNC:3587', 'HGNC:20748', 'HGNC:26144', 'HGNC:25568', 'HGNC:3588', 'HGNC:25539', 'HGNC:12829', 'HGNC:20473', 'HGNC:3585', 'HGNC:3436', 'HGNC:9820', 'HGNC:25009', 'HGNC:3584', 'HGNC:3582', 'HGNC:23168']","['SLX4', 'BRCA1', 'BRCA2', 'FANCE', 'RAD51', 'MAD2L2', 'FANCF', 'FANCL', 'PALB2', 'FANCI', 'FANCG', 'RFWD3', 'XRCC2', 'BRIP1', 'FANCD2', 'ERCC4', 'RAD51C', 'UBE2T', 'FANCC', 'FANCA', 'FANCM']",2.0,"[nan, nan, nan, 3.0, nan, nan, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",21.0,"[269.0, 417.0, 413.0, 345.0, 233.0, 275.0, 231.0, 223.0, 393.0, 379.0, 245.0, 311.0, 265.0, 315.0, 345.0, 453.0, 323.0, 261.0, 345.0, 345.0, 303.0]",12.0,35.0
43,FANCC,HGNC:3584,"['HGNC:23845', 'HGNC:9817', 'HGNC:3587', 'HGNC:1101', 'HGNC:20748', 'HGNC:3436', 'HGNC:20473', 'HGNC:12829', 'HGNC:1100', 'HGNC:23168', 'HGNC:25568', 'HGNC:3586', 'HGNC:3585', 'HGNC:25009', 'HGNC:6764', 'HGNC:9820', 'HGNC:25539', 'HGNC:3588', 'HGNC:3582', 'HGNC:26144', 'HGNC:3583']","['SLX4', 'RAD51', 'FANCF', 'BRCA2', 'FANCL', 'ERCC4', 'BRIP1', 'XRCC2', 'BRCA1', 'FANCM', 'FANCI', 'FANCE', 'FANCD2', 'UBE2T', 'MAD2L2', 'RAD51C', 'RFWD3', 'FANCG', 'FANCA', 'PALB2', 'FANCB']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",21.0,"[153.0, 189.0, 165.0, 385.0, 207.0, 445.0, 179.0, 215.0, 235.0, 251.0, 337.0, 1.0, 1.0, 95.0, 139.0, 293.0, 283.0, 121.0, 1.0, 329.0, 345.0]",10.0,51.0
44,FANCD2,HGNC:3585,"['HGNC:3588', 'HGNC:3436', 'HGNC:23168', 'HGNC:25009', 'HGNC:3583', 'HGNC:25568', 'HGNC:20748', 'HGNC:9817', 'HGNC:20473', 'HGNC:26144', 'HGNC:3586', 'HGNC:1101', 'HGNC:9820', 'HGNC:23845', 'HGNC:3587', 'HGNC:3582', 'HGNC:3584', 'HGNC:1100', 'HGNC:12829', 'HGNC:25539', 'HGNC:6764']","['FANCG', 'ERCC4', 'FANCM', 'UBE2T', 'FANCB', 'FANCI', 'FANCL', 'RAD51', 'BRIP1', 'PALB2', 'FANCE', 'BRCA2', 'RAD51C', 'SLX4', 'FANCF', 'FANCA', 'FANCC', 'BRCA1', 'XRCC2', 'RFWD3', 'MAD2L2']",1.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 38.0, nan, nan, nan, nan, nan]",21.0,"[121.0, 445.0, 251.0, 95.0, 345.0, 337.0, 207.0, 189.0, 179.0, 329.0, 1.0, 385.0, 293.0, 153.0, 165.0, 1.0, 1.0, 235.0, 215.0, 283.0, 139.0]",13.0,23.0
45,FANCE,HGNC:3586,"['HGNC:12829', 'HGNC:20748', 'HGNC:25568', 'HGNC:26144', 'HGNC:3436', 'HGNC:25539', 'HGNC:1101', 'HGNC:1100', 'HGNC:9820', 'HGNC:23168', 'HGNC:3582', 'HGNC:25009', 'HGNC:20473', 'HGNC:9817', 'HGNC:3588', 'HGNC:3583', 'HGNC:6764', 'HGNC:3585', 'HGNC:23845', 'HGNC:3584', 'HGNC:3587']","['XRCC2', 'FANCL', 'FANCI', 'PALB2', 'ERCC4', 'RFWD3', 'BRCA2', 'BRCA1', 'RAD51C', 'FANCM', 'FANCA', 'UBE2T', 'BRIP1', 'RAD51', 'FANCG', 'FANCB', 'MAD2L2', 'FANCD2', 'SLX4', 'FANCC', 'FANCF']",2.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 3.0, nan, nan, nan, nan, 3.0]",21.0,"[215.0, 207.0, 337.0, 329.0, 445.0, 283.0, 385.0, 235.0, 293.0, 251.0, 1.0, 95.0, 179.0, 189.0, 121.0, 345.0, 139.0, 1.0, 153.0, 1.0, 165.0]",13.0,23.0
46,FANCF,HGNC:3587,"['HGNC:1100', 'HGNC:3584', 'HGNC:26144', 'HGNC:25568', 'HGNC:12829', 'HGNC:9820', 'HGNC:23845', 'HGNC:3582', 'HGNC:3588', 'HGNC:25539', 'HGNC:25009', 'HGNC:3585', 'HGNC:23168', 'HGNC:6764', 'HGNC:1101', 'HGNC:9817', 'HGNC:3586', 'HGNC:20748', 'HGNC:20473', 'HGNC:3583', 'HGNC:3436']","['BRCA1', 'FANCC', 'PALB2', 'FANCI', 'XRCC2', 'RAD51C', 'SLX4', 'FANCA', 'FANCG', 'RFWD3', 'UBE2T', 'FANCD2', 'FANCM', 'MAD2L2', 'BRCA2', 'RAD51', 'FANCE', 'FANCL', 'BRIP1', 'FANCB', 'ERCC4']",2.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 3.0, nan, nan, 1.0, nan]",21.0,"[399.0, 165.0, 225.0, 259.0, 27.0, 151.0, 53.0, 165.0, 23.0, 89.0, 19.0, 165.0, 51.0, 19.0, 327.0, 17.0, 165.0, 47.0, 47.0, 231.0, 423.0]",12.0,35.0
47,FANCG,HGNC:3588,"['HGNC:25009', 'HGNC:3436', 'HGNC:3587', 'HGNC:12829', 'HGNC:9817', 'HGNC:26144', 'HGNC:25539', 'HGNC:3585', 'HGNC:3582', 'HGNC:3584', 'HGNC:3586', 'HGNC:25568', 'HGNC:6764', 'HGNC:1101', 'HGNC:3583', 'HGNC:23168', 'HGNC:20473', 'HGNC:9820', 'HGNC:20748', 'HGNC:23845', 'HGNC:1100']","['UBE2T', 'ERCC4', 'FANCF', 'XRCC2', 'RAD51', 'PALB2', 'RFWD3', 'FANCD2', 'FANCA', 'FANCC', 'FANCE', 'FANCI', 'MAD2L2', 'BRCA2', 'FANCB', 'FANCM', 'BRIP1', 'RAD51C', 'FANCL', 'SLX4', 'BRCA1']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",21.0,"[41.0, 437.0, 23.0, 31.0, 25.0, 265.0, 119.0, 121.0, 121.0, 121.0, 121.0, 313.0, 15.0, 359.0, 245.0, 61.0, 77.0, 173.0, 77.0, 69.0, 383.0]",11.0,41.0
48,FANCI,HGNC:25568,"['HGNC:25009', 'HGNC:3584', 'HGNC:3582', 'HGNC:25539', 'HGNC:20473', 'HGNC:3585', 'HGNC:1101', 'HGNC:6764', 'HGNC:23168', 'HGNC:12829', 'HGNC:3588', 'HGNC:23845', 'HGNC:3586', 'HGNC:20748', 'HGNC:1100', 'HGNC:26144', 'HGNC:3587', 'HGNC:3436', 'HGNC:3583', 'HGNC:9817', 'HGNC:9820']","['UBE2T', 'FANCC', 'FANCA', 'RFWD3', 'BRIP1', 'FANCD2', 'BRCA2', 'MAD2L2', 'FANCM', 'XRCC2', 'FANCG', 'SLX4', 'FANCE', 'FANCL', 'BRCA1', 'PALB2', 'FANCF', 'ERCC4', 'FANCB', 'RAD51', 'RAD51C']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",21.0,"[249.0, 337.0, 337.0, 243.0, 279.0, 337.0, 401.0, 309.0, 319.0, 291.0, 313.0, 277.0, 337.0, 307.0, 419.0, 375.0, 259.0, 457.0, 379.0, 303.0, 365.0]",12.0,35.0
49,FANCL,HGNC:20748,"['HGNC:1101', 'HGNC:3587', 'HGNC:9820', 'HGNC:1100', 'HGNC:3436', 'HGNC:9817', 'HGNC:25539', 'HGNC:3585', 'HGNC:20473', 'HGNC:3584', 'HGNC:3586', 'HGNC:6764', 'HGNC:3588', 'HGNC:26144', 'HGNC:25009', 'HGNC:12829', 'HGNC:3583', 'HGNC:23845', 'HGNC:23168', 'HGNC:25568', 'HGNC:3582']","['BRCA2', 'FANCF', 'RAD51C', 'BRCA1', 'ERCC4', 'RAD51', 'RFWD3', 'FANCD2', 'BRIP1', 'FANCC', 'FANCE', 'MAD2L2', 'FANCG', 'PALB2', 'UBE2T', 'XRCC2', 'FANCB', 'SLX4', 'FANCM', 'FANCI', 'FANCA']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",21.0,"[373.0, 47.0, 199.0, 407.0, 421.0, 67.0, 163.0, 207.0, 109.0, 207.0, 207.0, 71.0, 77.0, 271.0, 65.0, 75.0, 223.0, 103.0, 113.0, 307.0, 207.0]",11.0,41.0
