index,hit_symbol,hit_id,input_id,input_symbol,functional_sim_score,functional_sim_rank,phenotype_sim_score,phenotype_sim_rank,protein_interaction,protein_interaction_rank
107,SALL1,HGNC:10524,"['HGNC:25568', 'HGNC:20748', 'HGNC:9817', 'HGNC:25539', 'HGNC:3587', 'HGNC:3588', 'HGNC:25009', 'HGNC:12829']","['FANCI', 'FANCL', 'RAD51', 'RFWD3', 'FANCF', 'FANCG', 'UBE2T', 'XRCC2']",,"[nan, nan, nan, nan, nan, nan, nan, nan]",8.0,"[503.0, 522.0, 600.0, 536.0, 586.0, 613.0, 556.0, 587.0]",,
108,SALL4,HGNC:15924,['HGNC:25568'],['FANCI'],,[nan],1.0,[504.0],,
109,SEMA3E,HGNC:10727,"['HGNC:25568', 'HGNC:3583', 'HGNC:20473', 'HGNC:3587', 'HGNC:25539', 'HGNC:20748', 'HGNC:3582', 'HGNC:3585', 'HGNC:23845', 'HGNC:9820', 'HGNC:26144', 'HGNC:6764', 'HGNC:3588', 'HGNC:3586', 'HGNC:3584', 'HGNC:1101', 'HGNC:12829', 'HGNC:23168', 'HGNC:1100', 'HGNC:25009', 'HGNC:9817']","['FANCI', 'FANCB', 'BRIP1', 'FANCF', 'RFWD3', 'FANCL', 'FANCA', 'FANCD2', 'SLX4', 'RAD51C', 'PALB2', 'MAD2L2', 'FANCG', 'FANCE', 'FANCC', 'BRCA2', 'XRCC2', 'FANCM', 'BRCA1', 'UBE2T', 'RAD51']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",21.0,"[468.0, 469.0, 482.0, 483.0, 472.0, 471.0, 475.0, 475.0, 479.0, 480.0, 496.0, 487.0, 486.0, 475.0, 475.0, 498.0, 474.0, 481.0, 500.0, 473.0, 484.0]",,
110,SETD5,HGNC:25566,['HGNC:25568'],['FANCI'],,[nan],1.0,[578.0],,
111,SF3B4,HGNC:10771,"['HGNC:3583', 'HGNC:20748']","['FANCB', 'FANCL']",,"[nan, nan]",2.0,"[509.0, 587.0]",,
112,SHPRH,HGNC:19336,['HGNC:25009'],['UBE2T'],1.0,[87.0],,[nan],,
113,SLX1A,HGNC:20922,['HGNC:23845'],['SLX4'],1.0,[18.0],,[nan],,
114,SLX4,HGNC:23845,"['HGNC:1101', 'HGNC:3584', 'HGNC:25009', 'HGNC:3587', 'HGNC:1100', 'HGNC:3583', 'HGNC:12829', 'HGNC:25539', 'HGNC:20473', 'HGNC:3436', 'HGNC:6764', 'HGNC:9817', 'HGNC:3588', 'HGNC:25568', 'HGNC:20748', 'HGNC:26144', 'HGNC:3582', 'HGNC:3586', 'HGNC:3585', 'HGNC:23168', 'HGNC:9820']","['BRCA2', 'FANCC', 'UBE2T', 'FANCF', 'BRCA1', 'FANCB', 'XRCC2', 'RFWD3', 'BRIP1', 'ERCC4', 'MAD2L2', 'RAD51', 'FANCG', 'FANCI', 'FANCL', 'PALB2', 'FANCA', 'FANCE', 'FANCD2', 'FANCM', 'RAD51C']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",21.0,"[361.0, 153.0, 37.0, 53.0, 381.0, 269.0, 91.0, 135.0, 87.0, 425.0, 85.0, 63.0, 69.0, 277.0, 103.0, 247.0, 153.0, 153.0, 153.0, 129.0, 161.0]",13.0,23.0
115,SMC1A,HGNC:11111,['HGNC:25568'],['FANCI'],,[nan],1.0,[576.0],,
116,SPRTN,HGNC:25356,['HGNC:25568'],['FANCI'],1.0,[43.0],,[nan],,
117,STK31,HGNC:11407,['HGNC:25009'],['UBE2T'],1.0,[129.0],,[nan],,
118,SWI5,HGNC:31412,"['HGNC:3587', 'HGNC:3583', 'HGNC:3586']","['FANCF', 'FANCB', 'FANCE']",3.0,"[44.0, 44.0, 60.0]",,"[nan, nan, nan]",,
119,SWSAP1,HGNC:26638,"['HGNC:3583', 'HGNC:3587']","['FANCB', 'FANCF']",2.0,"[106.0, 106.0]",,"[nan, nan]",,
120,TBX1,HGNC:11592,"['HGNC:20748', 'HGNC:25009', 'HGNC:3583']","['FANCL', 'UBE2T', 'FANCB']",,"[nan, nan, nan]",3.0,"[619.0, 624.0, 591.0]",,
121,TDP1,HGNC:18884,"['HGNC:3583', 'HGNC:3587']","['FANCB', 'FANCF']",2.0,"[100.0, 100.0]",,"[nan, nan]",,
122,TOP3A,HGNC:11992,"['HGNC:1101', 'HGNC:12829', 'HGNC:20473', 'HGNC:20748', 'HGNC:23168', 'HGNC:23845', 'HGNC:25009', 'HGNC:26144', 'HGNC:3583', 'HGNC:3584', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588', 'HGNC:9820']","['BRCA2', 'XRCC2', 'BRIP1', 'FANCL', 'FANCM', 'SLX4', 'UBE2T', 'PALB2', 'FANCB', 'FANCC', 'FANCE', 'FANCF', 'FANCG', 'RAD51C']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",14.0,18.0
123,TOPBP1,HGNC:17008,"['HGNC:12829', 'HGNC:20473', 'HGNC:20748', 'HGNC:23168', 'HGNC:23845', 'HGNC:25009', 'HGNC:25568', 'HGNC:3436', 'HGNC:3582', 'HGNC:3583', 'HGNC:3584', 'HGNC:3585', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588', 'HGNC:9820']","['XRCC2', 'BRIP1', 'FANCL', 'FANCM', 'SLX4', 'UBE2T', 'FANCI', 'ERCC4', 'FANCA', 'FANCB', 'FANCC', 'FANCD2', 'FANCE', 'FANCF', 'FANCG', 'RAD51C']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",16.0,7.0
124,TRIP13,HGNC:12307,"['HGNC:9817', 'HGNC:3587', 'HGNC:3588', 'HGNC:25539']","['RAD51', 'FANCF', 'FANCG', 'RFWD3']",,"[nan, nan, nan, nan]",4.0,"[597.0, 580.0, 581.0, 541.0]",,
125,UBA1,HGNC:12469,['HGNC:25009'],['UBE2T'],1.0,[93.0],,[nan],,
126,UBA52,HGNC:12458,"['HGNC:11892', 'HGNC:12829', 'HGNC:20473', 'HGNC:20748', 'HGNC:23168', 'HGNC:25009', 'HGNC:26144', 'HGNC:3436', 'HGNC:3583', 'HGNC:3584', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588', 'HGNC:6764', 'HGNC:9820']","['TNF', 'XRCC2', 'BRIP1', 'FANCL', 'FANCM', 'UBE2T', 'PALB2', 'ERCC4', 'FANCB', 'FANCC', 'FANCE', 'FANCF', 'FANCG', 'MAD2L2', 'RAD51C']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",15.0,10.0
127,UBB,HGNC:12463,"['HGNC:12829', 'HGNC:20473', 'HGNC:20748', 'HGNC:23168', 'HGNC:23845', 'HGNC:25009', 'HGNC:25568', 'HGNC:26144', 'HGNC:3583', 'HGNC:3584', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588', 'HGNC:6764']","['XRCC2', 'BRIP1', 'FANCL', 'FANCM', 'SLX4', 'UBE2T', 'FANCI', 'PALB2', 'FANCB', 'FANCC', 'FANCE', 'FANCF', 'FANCG', 'MAD2L2']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",14.0,18.0
128,UBC,HGNC:12468,"['HGNC:1101', 'HGNC:12829', 'HGNC:20473', 'HGNC:20748', 'HGNC:23168', 'HGNC:23845', 'HGNC:25009', 'HGNC:25568', 'HGNC:26144', 'HGNC:3436', 'HGNC:3582', 'HGNC:3583', 'HGNC:3584', 'HGNC:3585', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588', 'HGNC:6764', 'HGNC:9820']","['BRCA2', 'XRCC2', 'BRIP1', 'FANCL', 'FANCM', 'SLX4', 'UBE2T', 'FANCI', 'PALB2', 'ERCC4', 'FANCA', 'FANCB', 'FANCC', 'FANCD2', 'FANCE', 'FANCF', 'FANCG', 'MAD2L2', 'RAD51C']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",19.0,3.0
129,UBE2D4,HGNC:21647,['HGNC:25009'],['UBE2T'],1.0,[35.0],,[nan],,
130,UBE2E3,HGNC:12479,['HGNC:25009'],['UBE2T'],1.0,[59.0],,[nan],,
131,UBE2F,HGNC:12480,['HGNC:25009'],['UBE2T'],1.0,[104.0],,[nan],,
132,UBE2G1,HGNC:12482,['HGNC:25009'],['UBE2T'],1.0,[50.0],,[nan],,
133,UBE2H,HGNC:12484,['HGNC:25009'],['UBE2T'],1.0,[120.0],,[nan],,
134,UBE2Q2,HGNC:19248,['HGNC:25009'],['UBE2T'],1.0,[66.0],,[nan],,
135,UBE2QL1,HGNC:37269,['HGNC:25009'],['UBE2T'],1.0,[56.0],,[nan],,
136,UBE2R2,HGNC:19907,['HGNC:25009'],['UBE2T'],1.0,[47.0],,[nan],,
