hit_symbol,hit_id,input_symbol,input_id,is_input_gene,num_modules,total_hits,functional_sim_count,protein_interaction_count,functional_sim_score,functional_sim_rank,interaction_count_rank
GNG3,HGNC:4405,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.30526315789473685],[138.0],
GPRC5C,HGNC:13309,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.37583892617449666],[14.0],
GPRC5D,HGNC:13310,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.37583892617449666],[14.0],
GSK3B,HGNC:4617,['EPM2A'],['HGNC:3413'],N,1,1.0,,1.0,[],[],13.0
HERC5,HGNC:24368,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.3089887640449438],[129.0],
HEXIM1,HGNC:24953,['EPM2A'],['HGNC:3413'],N,1,1.0,,1.0,[],[],13.0
HMGXB4,HGNC:5003,['EPM2A'],['HGNC:3413'],N,1,1.0,,1.0,[],[],13.0
HSP90AA1,HGNC:5253,['NHLRC1'],['HGNC:21576'],N,1,1.0,,1.0,[],[],13.0
HSPA4,HGNC:5237,['NHLRC1'],['HGNC:21576'],N,1,1.0,,1.0,[],[],13.0
HSPBP1,HGNC:24989,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.3860759493670886],[6.0],
JTB,HGNC:6201,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.345679012345679],[53.0],
KLHL25,HGNC:25732,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.31333333333333335],[116.0],
KLHL40,HGNC:30372,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.32],[101.0],
KLHL42,HGNC:29252,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.3161764705882353],[110.0],
KSR1,HGNC:6465,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.3177083333333333],[104.0],
LCP2,HGNC:6529,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.32460732984293195],[89.0],
MAGEA2,HGNC:6800,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.3349282296650718],[70.0],
MAGEC2,HGNC:13574,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.4244604316546763],[3.0],
MAP3K6,HGNC:6858,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.3054187192118227],[136.0],
MAP4K3,HGNC:6865,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.3096446700507614],[127.0],
MAP4K5,HGNC:6867,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.30049261083743845],[157.0],
MICOS10-NBL1,HGNC:48338,['NHLRC1'],['HGNC:21576'],N,1,1.0,,1.0,[],[],13.0
MLST8,HGNC:24825,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.3137254901960784],[115.0],
MMD,HGNC:7153,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.34705882352941175],[49.0],
MOB1B,HGNC:29801,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.3684210526315789],[23.0],
MST1,HGNC:7380,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.3181818181818182],[103.0],
MTA1,HGNC:7410,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.3037974683544304],[145.0],
MTCP1,HGNC:7423,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.35],[44.0],
MUSK,HGNC:7525,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.3253588516746411],[88.0],
NEK10,HGNC:18592,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.3125],[118.0],
NFU1,HGNC:16287,['EPM2A'],['HGNC:3413'],N,1,1.0,,1.0,[],[],13.0
NHLRC1,HGNC:21576,['EPM2A'],['HGNC:3413'],Y,1,1.0,,1.0,[],[],13.0
NKD2,HGNC:17046,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.32547169811320753],[87.0],
NNAT,HGNC:7860,['NHLRC1'],['HGNC:21576'],N,1,1.0,,1.0,[],[],13.0
NUB1,HGNC:17623,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.32727272727272727],[84.0],
OTUB1,HGNC:23077,['EPM2A'],['HGNC:3413'],N,1,1.0,,1.0,[],[],13.0
PASK,HGNC:17270,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.3025210084033613],[150.0],
PELI2,HGNC:8828,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.3069306930693069],[134.0],
PHKG1,HGNC:8930,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.34394904458598724],[55.0],
PHKG2,HGNC:8931,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.36464088397790057],[26.0],
PILRB,HGNC:18297,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.3625],[30.0],
PKM,HGNC:9021,['EPM2A'],['HGNC:3413'],N,1,1.0,,1.0,[],[],13.0
PPP1R3B,HGNC:14942,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.3370165745856354],[63.0],
PPP1R3E,HGNC:14943,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.31137724550898205],[122.0],
PPP2R3C,HGNC:17485,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.33519553072625696],[67.0],
PPP2R5A,HGNC:9309,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.3791208791208791],[10.0],
PRKAA1,HGNC:9376,['EPM2A'],['HGNC:3413'],N,1,1.0,,1.0,[],[],13.0
PRKAA2,HGNC:9377,['EPM2A'],['HGNC:3413'],N,1,1.0,,1.0,[],[],13.0
PRKAB2,HGNC:9379,['EPM2A'],['HGNC:3413'],N,1,1.0,,1.0,[],[],13.0
PRKAG3,HGNC:9387,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.3168724279835391],[108.0],
PRKD3,HGNC:9408,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.37209302325581395],[20.0],
PRR5,HGNC:31682,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.35802469135802467],[34.0],
PSMC3,HGNC:9549,['EPM2A'],['HGNC:3413'],N,1,1.0,,1.0,[],[],13.0
RASSF5,HGNC:17609,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.3790849673202614],[11.0],
RBBP6,HGNC:9889,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.3114754098360656],[121.0],
RCHY1,HGNC:17479,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.42857142857142855],[1.0],
RNF111,HGNC:17384,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.34615384615384615],[51.0],
RNF122,HGNC:21147,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.31756756756756754],[106.0],
RNF128,HGNC:21153,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.37362637362637363],[19.0],
RNF139,HGNC:17023,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.336322869955157],[64.0],
RNF144B,HGNC:21578,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.30985915492957744],[126.0],
RNF180,HGNC:27752,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.3656716417910448],[25.0],
RNF185,HGNC:26783,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.37158469945355194],[21.0],
RNF186,HGNC:25978,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.38513513513513514],[7.0],
RNF187,HGNC:27146,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.378698224852071],[12.0],
RNF217,HGNC:21487,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.3053435114503817],[137.0],
RNFT1,HGNC:30206,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.37423312883435583],[18.0],
RPL10,HGNC:10298,['EPM2A'],['HGNC:3413'],N,1,1.0,,1.0,[],[],13.0
RPLP1,HGNC:10372,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.36231884057971014],[31.0],
RPS2,HGNC:10404,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.32710280373831774],[85.0],
RPS6KB2,HGNC:10437,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.3016759776536313],[154.0],
SERTAD1,HGNC:17932,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.33519553072625696],[67.0],
SH3RF2,HGNC:26299,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.3065134099616858],[135.0],
SH3RF3,HGNC:24699,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.34705882352941175],[49.0],
SHC2,HGNC:29869,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.3372093023255814],[61.0],
SMG8,HGNC:25551,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.35526315789473684],[38.0],
SOCS4,HGNC:19392,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.35545023696682465],[37.0],
SPDYA,HGNC:30613,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.3015075376884422],[155.0],
SPOPL,HGNC:27934,['NHLRC1'],['HGNC:21576'],N,1,1.0,1.0,,[0.33098591549295775],[75.0],
